Description	Date	Day	DayAuto
Republic Day 	1/26/2018	Friday	5
Mahashivratri	2/13/2018	Tuesday	2
Holi	3/2/2018	Friday	5
Mahavir Jayanti	3/29/2018	Thursday	4
Good Friday	3/30/2018	Friday	5
Maharashtra Day	5/1/2018	Tuesday	2
Independence Day	8/15/2018	Wednesday	3
Bakri ID	8/22/2018	Wednesday	3
Ganesh Chaturthi	9/13/2018	Thursday	4
Moharram	9/20/2018	Thursday	4
Mahatama Gandhi Jayanti	10/2/2018	Tuesday	2
Dasera	10/18/2018	Thursday	4
Diwali-Laxmi Pujan	11/7/2018	Wednesday	3
Diwali-Balipratipada	11/8/2018	Thursday	4
Gurunanak Jayanti	11/23/2018	Friday	5
Christmas	12/25/2018	Tuesday	2
